id,asset,opening_date,opening_euro_value,closing_date,closing_euro_value,yield_ratio,growth_factor,cumulative_growth,yield_ratio_cumprod,value_ma_50d,value_ma_100d,value_ma_200d,yield_ma_50d,yield_ma_100d,yield_ma_200d,ma50_diff,ma50_diff_ratio,ma100_diff,ma100_diff_ratio,ma200_diff,ma200_diff_ratio
7365,Európai részvény eszközalap,2026-06-06,2.9551,2026-06-06,2.9551,0.0,1.0,1.0983,0.0983,2.8783960000000004,2.818792,2.7876045,0.0005100000000000001,0.00043999999999999996,0.0006265,-0.07670399999999944,-0.025956482014144848,-0.13630799999999965,-0.0461263578220702,-0.1674954999999998,-0.056680146187946194
7366,Európai vállalati kötvény eszközalap,2026-06-06,1.3274,2026-06-06,1.3274,0.0,1.0,1.0099,0.0099,1.3240340000000002,1.3212450000000002,1.3252885,5.199999999999996e-05,1.699999999999998e-05,5.35e-05,-0.003365999999999758,-0.0025357842398672278,-0.0061549999999996885,-0.0046368841343978374,-0.002111499999999822,-0.0015907036311585219
7367,Fejlõdõ piaci részvény ESG eszközalap-D,2026-06-06,1.3237,2026-06-06,1.3237,0.0,1.0,1.0354,0.0354,1.307474,1.255691,1.2197225,-0.0004139999999999999,-0.00011599999999999984,0.0002680000000000001,-0.016226000000000074,-0.012258064516129086,-0.06800900000000021,-0.05137795573015049,-0.10397750000000006,-0.0785506534713304
7368,Fejlõdõ ázsiai részvény eszközalap,2026-06-06,3.2121,2026-06-06,3.2121,0.0,1.0,1.2684,0.2684,3.219296,3.0298570000000002,2.785725,-0.0007200000000000003,0.0002219999999999999,0.0008065,0.00719599999999998,0.0022402789452383113,-0.1822429999999997,-0.05673640297624598,-0.42637500000000017,-0.13274026337909783
7369,Fenntartható növekedés részvény eszk.,2026-06-06,3.2159,2026-06-06,3.2159,0.0,1.0,0.9557,-0.0443,3.1678360000000003,3.0781289999999997,3.1229804999999997,0.0006719999999999999,0.00012100000000000005,4.449999999999999e-05,-0.04806399999999966,-0.014945738362511167,-0.1377710000000003,-0.0428405734009143,-0.09291950000000027,-0.02889377779159808
7370,Globális egészségügyi részvény eszk.,2026-06-06,3.4689,2026-06-06,3.4689,0.0,1.0,1.1167,0.1167,3.3893020000000003,3.423254,3.5173145,0.000826,-2.7999999999999986e-05,0.00011650000000000004,-0.07959799999999984,-0.022946178903975274,-0.045646000000000075,-0.013158638185015444,0.048414499999999805,0.013956729799071695
7371,Globális növekedési részvény eszközalap,2026-06-06,2.1758,2026-06-06,2.1758,0.0,1.0,0.8975,-0.1025,2.163224,2.116165,2.1288899999999997,-5.9999999999999913e-05,-0.00034700000000000003,-7.500000000000003e-06,-0.012576000000000143,-0.005779943009467847,-0.059635000000000105,-0.027408309587278287,-0.04691000000000045,-0.02155988601893577
7372,Kiegyensúlyozott vegyes eszközalap - D,2026-06-06,1.4973,2026-06-06,1.4973,0.0,1.0,1.0325,0.0325,1.479552,1.4513319999999998,1.4477974999999998,0.000302,9.400000000000001e-05,0.0001465,-0.017748000000000097,-0.01185333600480872,-0.04596800000000023,-0.030700594403259354,-0.04950250000000023,-0.033061176784879596
7373,Latin-amerikai részvény eszközalap,2026-06-06,1.3356,2026-06-06,1.3356,0.0,1.0,1.1621,0.1621,1.42413,1.424358,1.373024,-0.0019320000000000001,-0.0003000000000000001,0.0005195,0.08853,0.06628481581311771,0.08875800000000011,0.0664555256064691,0.037424000000000124,0.02802036537885604
7374,Magas kötvény arányú vegyes eszk. - D,2026-06-06,1.134,2026-06-06,1.134,0.0,1.0,1.0121,0.0121,1.126802,1.115975,1.117946,0.000174,-2.0000000000000025e-06,7.9e-05,-0.007197999999999816,-0.006347442680775852,-0.018024999999999958,-0.015895061728395027,-0.01605399999999979,-0.014156966490299641
7375,Magas védelmû vegyes eszközalap,2026-06-06,1.1203,2026-06-06,1.1203,0.0,1.0,1.0185,0.0185,1.115722,1.11348,1.1136025,8.800000000000001e-05,2.4e-05,0.0001175,-0.004577999999999971,-0.0040864054271177105,-0.006820000000000048,-0.00608765509238601,-0.006697500000000023,-0.005978309381415713
7376,Nemz. élelmiszeripari cégek rv. ea - D,2026-06-06,3.3273,2026-06-06,3.3273,0.0,1.0,1.1219,0.1219,3.33915,3.346269,3.298632,0.0015000000000000002,0.00015800000000000002,0.0006615,0.011849999999999916,0.003561446217653928,0.01896899999999979,0.005701018844107772,-0.028668000000000138,-0.0086159949508611
7377,Nyersanyagpiaci részvény eszközalap,2026-06-06,1.6632,2026-06-06,1.6632,0.0,1.0,1.0769,0.0769,1.6691119999999997,1.6502240000000001,1.588975,-0.0009619999999999997,-0.00039799999999999997,0.0006014999999999999,0.005911999999999695,0.003554593554593371,-0.012975999999999877,-0.007801827801827727,-0.07422499999999999,-0.04462782587782587
7378,Presztízs- és luxusmárkák rv. ea.,2026-06-06,3.4715,2026-06-06,3.4715,0.0,1.0,1.1151,0.1151,3.3905079999999996,3.3776170000000003,3.5246305,0.0008919999999999999,0.00040800000000000005,0.0005930000000000001,-0.08099200000000017,-0.023330548754140912,-0.0938829999999995,-0.027043929137260406,0.053130500000000414,0.015304767391617576
7379,USA részvény eszközalap,2026-06-06,4.901,2026-06-06,4.901,0.0,1.0,1.0124,0.0124,4.873296,4.676285,4.647121,0.0007059999999999999,0.00016699999999999989,0.00013949999999999995,-0.02770399999999995,-0.005652723933891033,-0.22471499999999978,-0.04585084676596608,-0.2538789999999995,-0.05180146908794114
7380,Ázsia kötvény eszközalap,2026-06-06,2.2731,2026-06-06,2.2731,0.0,1.0,1.0494,0.0494,2.261238,2.265223,2.2610569999999997,0.00035400000000000015,7.7e-05,9.9e-05,-0.011861999999999817,-0.005218424178434656,-0.00787699999999969,-0.003465311688882887,-0.012043000000000248,-0.005298051119616492
7381,Aktív hozamfigyelõ vegyes eszközalap - D,2026-06-07,0.9527,2026-06-07,0.9527,0.0,1.0,0.9976,-0.0024,0.951554,0.942895,0.9484225,8.600000000000003e-05,-9.599999999999999e-05,9.000000000000009e-06,-0.0011459999999999804,-0.0012028970294950985,-0.009804999999999953,-0.010291802246247457,-0.004277500000000045,-0.004489870893250808
7382,Euró likviditás eszközalap - D,2026-06-07,0.9234,2026-06-07,0.9234,0.0,1.0,0.9973,-0.0027,0.9232119999999999,0.9229269999999999,0.9248755,-3.999999999999989e-06,-4.099999999999999e-05,-4e-06,-0.000188000000000077,-0.00020359540827385422,-0.0004730000000000567,-0.0005122373835824742,0.001475499999999963,0.0015978990686592624
7383,Európai ingatlancégek részv. eszközalap,2026-06-07,1.8014,2026-06-07,1.8014,0.0,1.0,0.9904,-0.0096,1.845182,1.849007,1.8616210000000002,-0.0007719999999999997,-0.000471,0.0005239999999999999,0.04378200000000021,0.02430442988786511,0.04760700000000018,0.02642777839458209,0.0602210000000003,0.033430109914511105
7384,Európai kötvény eszközalap - D,2026-06-07,1.2271,2026-06-07,1.2271,0.0,1.0,0.9932,-0.0068,1.224424,1.223797,1.2295135000000001,5.599999999999996e-05,-0.00010800000000000001,1.6499999999999984e-05,-0.0026760000000001227,-0.0021807513650070266,-0.003303000000000056,-0.0026917121668976088,0.0024135000000000684,0.0019668323690001373
7385,Európai részvény eszközalap,2026-06-07,2.9551,2026-06-07,2.9551,0.0,1.0,1.0983,0.0983,2.8796,2.8191850000000005,2.789357,0.0005100000000000001,0.000456,0.00062,-0.0754999999999999,-0.025549050793543332,-0.13591499999999934,-0.04599336739873417,-0.16574299999999997,-0.05608710365131467
7386,Európai vállalati kötvény eszközalap,2026-06-07,1.3274,2026-06-07,1.3274,0.0,1.0,1.0099,0.0099,1.32402,1.3211200000000003,1.3252965,5.199999999999996e-05,1.299999999999998e-05,5.2499999999999995e-05,-0.0033799999999999386,-0.0025463311737230214,-0.006279999999999619,-0.004731053186680443,-0.002103499999999814,-0.0015846768118124258
7387,Fejlõdõ piaci részvény ESG eszközalap-D,2026-06-07,1.3237,2026-06-07,1.3237,0.0,1.0,1.0354,0.0354,1.308654,1.256159,1.2206445000000001,-0.0004139999999999999,-9.899999999999983e-05,0.0002545000000000001,-0.015046000000000115,-0.011366623857369581,-0.06754100000000007,-0.05102440129938813,-0.10305549999999997,-0.07785412102440127
7388,Fejlõdõ ázsiai részvény eszközalap,2026-06-07,3.2121,2026-06-07,3.2121,0.0,1.0,1.2684,0.2684,3.2222220000000004,3.0328559999999998,2.7899174999999996,-0.0007200000000000003,0.0002219999999999999,0.0007669999999999999,0.010122000000000408,0.003151209489119395,-0.17924400000000018,-0.055802745867189744,-0.42218250000000035,-0.13143504249556376
